concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4047082,device,Has dir device,1448963,Implantable electrocardiographic monitor and loop recorder
4047237,device,Using device,4097825,Surgical suture
4048938,device,Has dir device,4120356,Cerebrospinal fluid shunt tubing
4048938,device,Has dir device,4122288,Ventricular shunt
4049252,device,Using device,45768015,Electrocautery system
4049547,device,Using device,4150246,Angioplasty catheter
4049682,device,Has dir device,4230987,Arterial stent
4049734,device,Using device,4232804,Surgical band
4049832,device,Has dir device,3661484,Peripheral venous cannula
4049987,device,Using device,4134654,Radiofrequency controlled thermal probe
4050114,device,Using device,4300940,Surgical clip
4050128,device,Using device,4150246,Angioplasty catheter
4050572,device,Has dir device,4232661,Automatic cardiac defibrillator
4051157,device,Has dir device,45767942,Peripheral artery stent
4051163,device,Has dir device,40480634,Venous stent
4051171,device,Using device,4313302,Laparoscope
4051762,device,Using device,4300940,Surgical clip
4051945,device,Using device,4150246,Angioplasty catheter
4052106,device,Using device,4259287,Angioplasty balloon catheter
4052113,device,Using device,4010190,Percutaneous transluminal angioplasty balloon
4052413,device,Has dir device,4124293,Venous cannula
4052415,device,Has dir device,4124293,Venous cannula
4052532,device,Using device,4106960,Hysteroscope
4060257,device,Has dir device,4044874,Intra-aortic balloon pump
4061134,device,Using device,1245222,Echoendoscope
4061603,device,Using device,4149295,Shock wave lithotripter
4062876,device,Using device,4133890,Stereotactic device
4063802,device,Using device,4149433,Orthopedic internal fixation system
4063911,device,Using device,4254627,Fundus camera
4065834,device,Has dir device,4097825,Surgical suture
4065926,device,Using device,45767736,Ophthalmic laser system
4066401,device,Using acc device,37163208,Fiberoptic esophagoscope
4066401,device,Using device,37163208,Fiberoptic esophagoscope
4066625,device,Using acc device,4148032,Rigid esophagoscope
4066625,device,Using device,4148032,Rigid esophagoscope
4066634,device,Using acc device,4290594,Endoscope
4066634,device,Using device,4290594,Endoscope
4067329,device,Using acc device,45773516,Flexible fiberoptic sigmoidoscope
4067329,device,Using device,45773516,Flexible fiberoptic sigmoidoscope
4067489,device,Using device,4290594,Endoscope
4067489,device,Using acc device,4290594,Endoscope
4067706,device,Using acc device,45764589,Flexible fiberoptic bronchoscope
4067706,device,Using device,45764589,Flexible fiberoptic bronchoscope
4068675,device,Using device,4290594,Endoscope
4068675,device,Using acc device,4260387,Laryngoscope
4068676,device,Using device,4306803,"Microlaryngoscope, device"
4068770,device,Has dir device,4125343,Ophthalmological device
4069110,device,Using device,4232804,Surgical band
4070140,device,Has dir device,4234453,Prosthetic voice box
4070327,device,Using device,4046730,Laser device
4070610,device,Using device,4097825,Surgical suture
4070947,device,Using device,4010190,Percutaneous transluminal angioplasty balloon
4072862,device,Using device,602773,Oocyte aspiration needle
4073391,device,Has dir device,4205702,Prosthesis
4073424,device,Using device,4297077,Vacuum extractor
4073702,device,Using acc device,4290594,Endoscope
4073702,device,Has dir device,4231011,Prostatic urethra stent
4073990,device,Has dir device,4120252,Ureteric stent
4074293,device,Using device,4097825,Surgical suture
4074298,device,Has proc device,40355609,Intrauterine contraceptive device
4074443,device,Using device,4313302,Laparoscope
4074562,device,Using device,4290594,Endoscope
4074562,device,Using acc device,4290594,Endoscope
4074571,device,Using device,4313302,Laparoscope
4074848,device,Using device,4290594,Endoscope
4074848,device,Using acc device,4290594,Endoscope
4075026,device,Using device,4313302,Laparoscope
4075026,device,Using acc device,4313302,Laparoscope
4075598,device,Has dir device,4222679,Wound dressing
4076188,device,Using device,4049103,Arthroscope
4076608,device,Has dir device,45768066,Implantable shoulder prosthesis
4077078,device,Has dir device,4281994,Hip prosthesis
4079401,device,Has dir device,4127145,Total shoulder replacement prosthesis
4079402,device,Has dir device,4127145,Total shoulder replacement prosthesis
4079602,device,Has dir device,4142036,Plaster cast
4079651,device,Has dir device,4197312,Unicompartmental knee joint prosthesis
4079653,device,Has dir device,4197312,Unicompartmental knee joint prosthesis
4079766,device,Has dir device,4134858,Implantable venous access port
4080499,device,Has dir device,4222679,Wound dressing
4080522,device,Using device,4290594,Endoscope
4080807,device,Has dir device,4274503,Bandage
4083534,device,Has dir device,4142036,Plaster cast
4085558,device,Has dir device,4173468,"Temporary cardiac pacemaker, device"
4087381,device,Using device,4149289,Sigmoidoscope
4087611,device,Using device,4237060,Hyperbaric chamber
4087889,device,Using device,4149295,Shock wave lithotripter
4088084,device,Using device,4106017,Obstetric forceps
4093926,device,Has dir device,4222679,Wound dressing
4094533,device,Has dir device,4149433,Orthopedic internal fixation system
4097552,device,Using device,4097825,Surgical suture
4097988,device,Using device,4097825,Surgical suture
4098786,device,Using device,4009789,Electromyographic monitor and recorder
4099370,device,Using device,4265038,Syringe
4099462,device,Has dir device,4038538,Breast implant
4099484,device,Has dir device,4194226,Transvenous electrode
4099524,device,Using device,4009789,Electromyographic monitor and recorder
4100187,device,Using acc device,4290594,Endoscope
4100187,device,Using device,4290594,Endoscope
4100718,device,Using device,4149926,Thoracoscope
4103380,device,Using device,4290594,Endoscope
4103380,device,Using acc device,4290594,Endoscope
4103530,device,Using device,4097825,Surgical suture
4105083,device,Using device,4005994,Rhinoscope
4105167,device,Using acc device,4169907,Proctoscope
4105167,device,Using device,4169907,Proctoscope
4105908,device,Using device,4097825,Surgical suture
4106463,device,Using device,4098108,Bone plate
4107087,device,Has dir device,4117614,Total elbow joint replacement prosthesis
4107428,device,Has dir device,4197313,Total ankle joint prosthesis
4107444,device,Using device,4223817,Intramedullary rod
4108844,device,Has dir device,4142036,Plaster cast
